"No.","Time","Time Diff","Source","Destination","Protocol","Length","Info"
"67","0.021407","0.000065","197.231.70.109","192.168.2.3","UDP","62","14503  >  80 Len=20"
"68","0.021589","0.000182","165.67.137.239","192.168.2.3","UDP","62","14504  >  80 Len=20"
"69","0.021661","0.000072","57.0.197.197","192.168.2.3","UDP","62","14505  >  80 Len=20"
"70","0.022105","0.000444","185.171.189.229","192.168.2.3","UDP","62","14506  >  80 Len=20"
"71","0.022183","0.000078","165.68.62.42","192.168.2.3","UDP","62","14507  >  80 Len=20"
"72","0.022237","0.000054","36.73.130.188","192.168.2.3","UDP","62","14508  >  80 Len=20"
"73","0.022444","0.000207","62.137.148.151","192.168.2.3","UDP","62","14509  >  80 Len=20"
"74","0.022510","0.000066","85.112.251.19","192.168.2.3","UDP","62","14510  >  80 Len=20"
"75","0.022617","0.000107","110.28.32.171","192.168.2.3","UDP","62","14511  >  80 Len=20"
"76","0.027130","0.004513","208.6.157.78","192.168.2.3","UDP","62","14512  >  80 Len=20"
"77","0.030206","0.003076","111.42.187.201","192.168.2.3","UDP","62","14513  >  80 Len=20"
"78","0.030532","0.000326","85.21.187.215","192.168.2.3","UDP","62","14514  >  80 Len=20"
"79","0.030598","0.000066","137.101.163.62","192.168.2.3","UDP","62","14515  >  80 Len=20"
"80","0.030645","0.000047","72.135.67.105","192.168.2.3","UDP","62","14516  >  80 Len=20"
"81","0.031914","0.001269","157.67.51.12","192.168.2.3","UDP","62","14517  >  80 Len=20"
"82","0.031986","0.000072","58.236.2.167","192.168.2.3","UDP","62","14518  >  80 Len=20"
"83","0.032037","0.000051","112.162.93.247","192.168.2.3","UDP","62","14519  >  80 Len=20"
"84","0.032174","0.000137","247.85.96.192","192.168.2.3","UDP","62","14520  >  80 Len=20"
"85","0.032326","0.000152","111.240.114.238","192.168.2.3","UDP","62","14521  >  80 Len=20"
"86","0.032384","0.000058","204.111.77.105","192.168.2.3","UDP","62","14522  >  80 Len=20"
"87","0.032542","0.000158","165.67.135.2","192.168.2.3","UDP","62","14523  >  80 Len=20"
"88","0.032665","0.000123","0.188.2.146","192.168.2.3","UDP","62","14524  >  80 Len=20"
"89","0.032779","0.000114","124.152.198.90","192.168.2.3","UDP","62","14525  >  80 Len=20"
"90","0.033219","0.000440","111.253.183.165","192.168.2.3","UDP","62","14526  >  80 Len=20"
"91","0.033291","0.000072","213.16.64.162","192.168.2.3","UDP","62","14527  >  80 Len=20"
"92","0.033461","0.000170","166.137.98.2","192.168.2.3","UDP","62","14528  >  80 Len=20"
"93","0.033528","0.000067","93.185.189.111","192.168.2.3","UDP","62","14529  >  80 Len=20"
"94","0.033714","0.000186","0.144.47.121","192.168.2.3","UDP","62","14530  >  80 Len=20"
"95","0.033760","0.000046","32.39.62.135","192.168.2.3","UDP","62","14531  >  80 Len=20"
"96","0.033911","0.000151","181.103.86.247","192.168.2.3","UDP","62","14532  >  80 Len=20"
"97","0.034035","0.000124","180.167.255.101","192.168.2.3","UDP","62","14533  >  80 Len=20"
"98","0.034124","0.000089","105.185.12.0","192.168.2.3","UDP","62","14534  >  80 Len=20"
"99","0.034243","0.000119","36.16.121.81","192.168.2.3","UDP","62","14535  >  80 Len=20"
"100","0.034406","0.000163","39.163.229.110","192.168.2.3","UDP","62","14536  >  80 Len=20"
"101","0.034473","0.000067","67.229.166.148","192.168.2.3","UDP","62","14537  >  80 Len=20"
"102","0.034626","0.000153","185.137.251.224","192.168.2.3","UDP","62","14538  >  80 Len=20"
"103","0.034694","0.000068","65.21.62.112","192.168.2.3","UDP","62","14539  >  80 Len=20"
"104","0.034825","0.000131","157.135.221.14","192.168.2.3","UDP","62","14540  >  80 Len=20"
"105","0.034990","0.000165","144.152.107.188","192.168.2.3","UDP","62","14541  >  80 Len=20"
"106","0.035057","0.000067","179.96.105.47","192.168.2.3","UDP","62","14542  >  80 Len=20"
"107","0.035167","0.000110","89.121.186.93","192.168.2.3","UDP","62","14543  >  80 Len=20"
"108","0.035359","0.000192","53.104.96.5","192.168.2.3","UDP","62","14544  >  80 Len=20"
"109","0.035425","0.000066","212.212.144.39","192.168.2.3","UDP","62","14545  >  80 Len=20"
"110","0.035529","0.000104","67.39.206.156","192.168.2.3","UDP","62","14546  >  80 Len=20"
"111","0.035649","0.000120","109.186.19.89","192.168.2.3","UDP","62","14547  >  80 Len=20"
"112","0.051849","0.016200","14.204.193.108","192.168.2.3","UDP","62","14548  >  80 Len=20"
"113","0.051996","0.000147","28.104.83.67","192.168.2.3","UDP","62","14549  >  80 Len=20"
"114","0.052062","0.000066","188.58.157.240","192.168.2.3","UDP","62","14550  >  80 Len=20"
"115","0.052130","0.000068","19.136.94.242","192.168.2.3","UDP","62","14551  >  80 Len=20"
"116","0.052190","0.000060","81.231.32.118","192.168.2.3","UDP","62","14552  >  80 Len=20"
"117","0.052361","0.000171","118.185.209.162","192.168.2.3","UDP","62","14553  >  80 Len=20"
"118","0.052443","0.000082","187.58.185.141","192.168.2.3","UDP","62","14554  >  80 Len=20"
"119","0.052614","0.000171","73.132.129.77","192.168.2.3","UDP","62","14555  >  80 Len=20"
"120","0.052715","0.000101","47.85.240.165","192.168.2.3","UDP","62","14556  >  80 Len=20"
"121","0.052821","0.000106","160.62.119.110","192.168.2.3","UDP","62","14557  >  80 Len=20"
"122","0.052912","0.000091","215.67.0.42","192.168.2.3","UDP","62","14558  >  80 Len=20"
"123","0.053072","0.000160","144.179.160.70","192.168.2.3","UDP","62","14559  >  80 Len=20"
"124","0.053170","0.000098","109.137.53.121","192.168.2.3","UDP","62","14560  >  80 Len=20"
"125","0.053257","0.000087","51.129.12.121","192.168.2.3","UDP","62","14561  >  80 Len=20"
"126","0.053393","0.000136","47.69.206.179","192.168.2.3","UDP","62","14562  >  80 Len=20"
"127","0.053549","0.000156","101.162.129.179","192.168.2.3","UDP","62","14563  >  80 Len=20"
"128","0.053624","0.000075","179.180.181.46","192.168.2.3","UDP","62","14564  >  80 Len=20"
"129","0.053803","0.000179","165.181.132.251","192.168.2.3","UDP","62","14565  >  80 Len=20"
"130","0.053872","0.000069","103.229.67.144","192.168.2.3","UDP","62","14566  >  80 Len=20"
"131","0.053967","0.000095","197.58.77.103","192.168.2.3","UDP","62","14567  >  80 Len=20"
"132","0.054090","0.000123","156.96.185.209","192.168.2.3","UDP","62","14568  >  80 Len=20"
"133","0.054209","0.000119","125.104.12.11","192.168.2.3","UDP","62","14569  >  80 Len=20"
"134","0.054333","0.000124","107.80.132.72","192.168.2.3","UDP","62","14570  >  80 Len=20"
"135","0.054458","0.000125","156.121.252.108","192.168.2.3","UDP","62","14571  >  80 Len=20"
"136","0.055534","0.001076","228.8.2.19","192.168.2.3","UDP","62","14572  >  80 Len=20"
"137","0.055572","0.000038","21.130.150.191","192.168.2.3","UDP","62","14573  >  80 Len=20"
"138","0.055739","0.000167","70.251.57.14","192.168.2.3","UDP","62","14574  >  80 Len=20"
"139","0.055790","0.000051","85.70.251.77","192.168.2.3","UDP","62","14575  >  80 Len=20"
"140","0.056023","0.000233","204.30.14.240","192.168.2.3","UDP","62","14576  >  80 Len=20"
"141","0.056075","0.000052","179.11.161.167","192.168.2.3","UDP","62","14577  >  80 Len=20"
"142","0.056296","0.000221","231.126.70.169","192.168.2.3","UDP","62","14578  >  80 Len=20"
"143","0.056321","0.000025","20.148.67.239","192.168.2.3","UDP","62","14579  >  80 Len=20"
"144","0.056372","0.000051","111.20.221.162","192.168.2.3","UDP","62","14580  >  80 Len=20"
"145","0.056534","0.000162","53.231.215.4","192.168.2.3","UDP","62","14581  >  80 Len=20"
"146","0.056655","0.000121","23.247.2.98","192.168.2.3","UDP","62","14582  >  80 Len=20"
"147","0.056784","0.000129","149.151.107.143","192.168.2.3","UDP","62","14583  >  80 Len=20"
"148","0.056832","0.000048","151.124.165.47","192.168.2.3","UDP","62","14584  >  80 Len=20"
"149","0.056993","0.000161","42.189.125.105","192.168.2.3","UDP","62","14585  >  80 Len=20"
"150","0.057111","0.000118","150.203.235.101","192.168.2.3","UDP","62","14586  >  80 Len=20"
"151","0.057231","0.000120","223.70.192.213","192.168.2.3","UDP","62","14587  >  80 Len=20"
"152","0.057352","0.000121","111.28.8.171","192.168.2.3","UDP","62","14588  >  80 Len=20"
"153","0.057482","0.000130","64.108.200.5","192.168.2.3","UDP","62","14589  >  80 Len=20"
"154","0.057538","0.000056","47.39.183.101","192.168.2.3","UDP","62","14590  >  80 Len=20"
"155","0.057689","0.000151","224.127.114.94","192.168.2.3","UDP","62","14591  >  80 Len=20"
"156","0.057847","0.000158","70.156.198.146","192.168.2.3","UDP","62","14592  >  80 Len=20"
"157","0.057901","0.000054","224.119.13.111","192.168.2.3","UDP","62","14593  >  80 Len=20"
"158","0.058060","0.000159","96.189.197.2","192.168.2.3","UDP","62","14594  >  80 Len=20"
"159","0.058175","0.000115","106.104.201.125","192.168.2.3","UDP","62","14595  >  80 Len=20"
"160","0.058301","0.000126","143.179.135.198","192.168.2.3","UDP","62","14596  >  80 Len=20"
"161","0.058346","0.000045","103.148.4.16","192.168.2.3","UDP","62","14597  >  80 Len=20"
"162","0.059843","0.001497","207.249.77.185","192.168.2.3","UDP","62","14598  >  80 Len=20"
"163","0.059917","0.000074","85.189.114.137","192.168.2.3","UDP","62","14599  >  80 Len=20"
"164","0.060042","0.000125","93.105.213.130","192.168.2.3","UDP","62","14600  >  80 Len=20"
"165","0.060160","0.000118","179.32.110.52","192.168.2.3","UDP","62","14601  >  80 Len=20"
"166","0.060256","0.000096","103.255.27.152","192.168.2.3","UDP","62","14602  >  80 Len=20"
"167","0.060375","0.000119","30.169.62.67","192.168.2.3","UDP","62","14603  >  80 Len=20"
"168","0.060500","0.000125","152.144.251.68","192.168.2.3","UDP","62","14604  >  80 Len=20"
"169","0.060617","0.000117","161.247.185.62","192.168.2.3","UDP","62","14605  >  80 Len=20"
"170","0.060743","0.000126","13.89.77.70","192.168.2.3","UDP","62","14606  >  80 Len=20"
"171","0.060900","0.000157","8.51.137.253","192.168.2.3","UDP","62","14607  >  80 Len=20"
"172","0.060939","0.000039","64.77.146.101","192.168.2.3","UDP","62","14608  >  80 Len=20"
"173","0.061072","0.000133","77.88.188.104","192.168.2.3","UDP","62","14609  >  80 Len=20"
"174","0.061202","0.000130","8.39.229.239","192.168.2.3","UDP","62","14610  >  80 Len=20"
"175","0.061321","0.000119","251.130.67.103","192.168.2.3","UDP","62","14611  >  80 Len=20"
"176","0.061446","0.000125","185.202.42.241","192.168.2.3","UDP","62","14612  >  80 Len=20"
"177","0.061724","0.000278","150.156.165.200","192.168.2.3","UDP","62","14613  >  80 Len=20"
"178","0.061756","0.000032","57.151.104.70","192.168.2.3","UDP","62","14614  >  80 Len=20"
"179","0.061792","0.000036","179.193.62.238","192.168.2.3","UDP","62","14615  >  80 Len=20"
"180","0.061827","0.000035","104.60.119.179","192.168.2.3","UDP","62","14616  >  80 Len=20"
"181","0.074460","0.012633","189.150.60.105","192.168.2.3","UDP","62","14617  >  80 Len=20"
"182","0.083513","0.009053","236.58.57.58","192.168.2.3","UDP","62","14618  >  80 Len=20"
"183","0.083567","0.000054","47.207.163.70","192.168.2.3","UDP","62","14619  >  80 Len=20"
"184","0.083627","0.000060","161.62.107.239","192.168.2.3","UDP","62","14620  >  80 Len=20"
"185","0.083664","0.000037","189.57.28.200","192.168.2.3","UDP","62","14621  >  80 Len=20"
"186","0.083865","0.000201","223.203.241.57","192.168.2.3","UDP","62","14622  >  80 Len=20"
"187","0.083918","0.000053","162.203.70.215","192.168.2.3","UDP","62","14623  >  80 Len=20"
"188","0.084078","0.000160","20.28.241.55","192.168.2.3","UDP","62","14624  >  80 Len=20"
"189","0.084132","0.000054","206.152.72.58","192.168.2.3","UDP","62","14625  >  80 Len=20"
"190","0.084290","0.000158","70.187.121.121","192.168.2.3","UDP","62","14626  >  80 Len=20"
"191","0.087504","0.003214","73.207.4.189","192.168.2.3","UDP","62","14627  >  80 Len=20"
"192","0.087552","0.000048","58.181.213.36","192.168.2.3","UDP","62","14628  >  80 Len=20"
"193","0.087582","0.000030","58.231.191.162","192.168.2.3","UDP","62","14629  >  80 Len=20"
"194","0.087615","0.000033","42.212.188.32","192.168.2.3","UDP","62","14630  >  80 Len=20"
"195","0.087810","0.000195","81.107.109.235","192.168.2.3","UDP","62","14631  >  80 Len=20"
"196","0.087872","0.000062","94.69.107.247","192.168.2.3","UDP","62","14632  >  80 Len=20"
"197","0.088017","0.000145","125.119.119.187","192.168.2.3","UDP","62","14633  >  80 Len=20"
"198","0.088069","0.000052","36.251.137.161","192.168.2.3","UDP","62","14634  >  80 Len=20"
"199","0.088274","0.000205","180.179.213.255","192.168.2.3","UDP","62","14635  >  80 Len=20"
"200","0.088349","0.000075","60.90.94.151","192.168.2.3","UDP","62","14636  >  80 Len=20"
"201","0.088413","0.000064","207.185.66.144","192.168.2.3","UDP","62","14637  >  80 Len=20"
"202","0.088608","0.000195","241.106.92.21","192.168.2.3","UDP","62","14638  >  80 Len=20"
"203","0.088658","0.000050","129.25.125.149","192.168.2.3","UDP","62","14639  >  80 Len=20"
"204","0.088721","0.000063","162.94.181.42","192.168.2.3","UDP","62","14640  >  80 Len=20"
"205","0.088944","0.000223","215.213.179.189","192.168.2.3","UDP","62","14641  >  80 Len=20"
"206","0.089029","0.000085","25.142.114.137","192.168.2.3","UDP","62","14642  >  80 Len=20"
"207","0.089082","0.000053","179.239.239.93","192.168.2.3","UDP","62","14643  >  80 Len=20"
"208","0.089234","0.000152","30.101.185.104","192.168.2.3","UDP","62","14644  >  80 Len=20"
